feature,p.value_tx,FDR_tx,logFC_tx,p.value_time,FDR_time,p.value_interaction,FDR_interaction,tx,time,Mean_Ice_15,Mean_Ice_30,Mean_Ice_60,Mean_Ice_90,Mean_RT_15,Mean_RT_30,Mean_RT_60,Mean_RT_90
C18_151.04006995784_171.423542667423,0.18993647536223435,0.9911398709670876,0.4615443477084659,0.001370713882583278,1,0.23277198076549843,1,RT,15,NA,NA,NA,NA,23.13443557390019,NA,NA,NA
C18_151.04006995784_171.423542667423,0.18993647536223435,0.9911398709670876,0.4615443477084659,0.001370713882583278,1,0.23277198076549843,1,RT,30,NA,NA,NA,NA,NA,23.35413901671952,NA,NA
C18_151.04006995784_171.423542667423,0.18993647536223435,0.9911398709670876,0.4615443477084659,0.001370713882583278,1,0.23277198076549843,1,RT,60,NA,NA,NA,NA,NA,NA,22.840782884827867,NA
C18_151.04006995784_171.423542667423,0.18993647536223435,0.9911398709670876,0.4615443477084659,0.001370713882583278,1,0.23277198076549843,1,RT,90,NA,NA,NA,NA,NA,NA,NA,23.21168999238944
C18_151.051321266184_35.8593875705717,0.2891347957777046,0.9969365741869346,0.45135362661178513,0.2657296465887197,1,0.8917719254923856,1,Ice,15,20.73227450916996,NA,NA,NA,NA,NA,NA,NA
C18_151.051321266184_35.8593875705717,0.2891347957777046,0.9969365741869346,0.45135362661178513,0.2657296465887197,1,0.8917719254923856,1,Ice,30,NA,20.697116587784222,NA,NA,NA,NA,NA,NA
C18_151.051321266184_35.8593875705717,0.2891347957777046,0.9969365741869346,0.45135362661178513,0.2657296465887197,1,0.8917719254923856,1,Ice,60,NA,NA,21.429188081025046,NA,NA,NA,NA,NA
C18_151.051321266184_35.8593875705717,0.2891347957777046,0.9969365741869346,0.45135362661178513,0.2657296465887197,1,0.8917719254923856,1,Ice,90,NA,NA,NA,20.784850744635648,NA,NA,NA,NA
C18_151.051321266184_35.8593875705717,0.2891347957777046,0.9969365741869346,0.45135362661178513,0.2657296465887197,1,0.8917719254923856,1,RT,15,NA,NA,NA,NA,21.183628135781746,NA,NA,NA
C18_151.051321266184_35.8593875705717,0.2891347957777046,0.9969365741869346,0.45135362661178513,0.2657296465887197,1,0.8917719254923856,1,RT,30,NA,NA,NA,NA,NA,20.94791684286464,NA,NA
C18_151.051321266184_35.8593875705717,0.2891347957777046,0.9969365741869346,0.45135362661178513,0.2657296465887197,1,0.8917719254923856,1,RT,60,NA,NA,NA,NA,NA,NA,21.42551614072174,NA
C18_151.051321266184_35.8593875705717,0.2891347957777046,0.9969365741869346,0.45135362661178513,0.2657296465887197,1,0.8917719254923856,1,RT,90,NA,NA,NA,NA,NA,NA,NA,21.220990429799542
HILIC_151.075414373981_281.492123591844,0.8944625824832984,0.9999999999999998,-0.03797122976918519,0.4634665260137253,1,0.9101854123817568,1,Ice,15,21.86261490581726,NA,NA,NA,NA,NA,NA,NA
HILIC_151.075414373981_281.492123591844,0.8944625824832984,0.9999999999999998,-0.03797122976918519,0.4634665260137253,1,0.9101854123817568,1,Ice,30,NA,21.790304388386836,NA,NA,NA,NA,NA,NA
HILIC_151.075414373981_281.492123591844,0.8944625824832984,0.9999999999999998,-0.03797122976918519,0.4634665260137253,1,0.9101854123817568,1,Ice,60,NA,NA,21.492154171101728,NA,NA,NA,NA,NA
HILIC_151.075414373981_281.492123591844,0.8944625824832984,0.9999999999999998,-0.03797122976918519,0.4634665260137253,1,0.9101854123817568,1,Ice,90,NA,NA,NA,21.519779001847517,NA,NA,NA,NA
